SG_13_4,SG_7_3,SG_9_3,SG_13_3,Original,SG_9_4,Width,SG_7_2,SG_5_4,Amplitude,SG_7_4,SG_11_2,SG_11_3,SG_3_4,SG_5_2,SG_13_2,SG_9_2,SG_5_3,SG_11_4,SG_3_2,SG_3_3
0.8359,0.8042,0.8603,0.9018,0.4827,0.7634,2.0,0.8098,0.5026,0,0.6921,0.8865,0.8873,0.4956,0.7388,0.9096,0.8635,0.7598,0.823,0.5126,0.508
0.8442,0.8086,0.8585,0.9013,0.4989,0.7615,2.0,0.824,0.4978,4,0.7046,0.887,0.8794,0.4817,0.7361,0.8972,0.8557,0.7364,0.8232,0.5132,0.5069
0.8362,0.8024,0.8479,0.894,0.4645,0.7511,2.0,0.8073,0.4698,8,0.6734,0.8643,0.8779,0.4631,0.7158,0.9079,0.8455,0.7116,0.8034,0.4805,0.4667
0.8071,0.7541,0.8306,0.8843,0.407,0.6938,2.0,0.7713,0.4034,12,0.6172,0.857,0.8608,0.4057,0.6565,0.8799,0.8332,0.6603,0.7446,0.4029,0.4221
0.7451,0.6776,0.7659,0.8427,0.2662,0.5942,2.0,0.667,0.2859,16,0.4798,0.8111,0.8089,0.2832,0.5296,0.8541,0.7805,0.5346,0.6667,0.2777,0.2935
0.5853,0.5329,0.6427,0.7919,0.1299,0.3999,2.0,0.5207,0.128,20,0.2503,0.7271,0.7167,0.1251,0.3095,0.7823,0.6521,0.3064,0.4961,0.1337,0.1214
0.3865,0.2921,0.4805,0.6842,0.0391,0.1932,2.0,0.3068,0.0399,24,0.1022,0.5761,0.5762,0.0387,0.1406,0.6722,0.4652,0.144,0.3123,0.0425,0.0389
0.2301,0.1647,0.296,0.5179,0.0088,0.064,2.0,0.153,0.0049,28,0.0195,0.4132,0.3942,0.0088,0.041,0.5048,0.2791,0.0355,0.1591,0.0079,0.0048
0.8463,0.8235,0.8624,0.9039,0.5008,0.7704,4.0,0.8197,0.509,0,0.6997,0.8838,0.892,0.5046,0.7314,0.9097,0.8648,0.7393,0.8089,0.4844,0.5063
0.8362,0.8204,0.8618,0.9162,0.4815,0.7548,4.0,0.8165,0.5084,4,0.6907,0.8844,0.8779,0.5019,0.735,0.8916,0.846,0.7351,0.8052,0.5135,0.5021
0.8321,0.8073,0.8539,0.8896,0.4619,0.7456,4.0,0.7985,0.4636,8,0.6613,0.8827,0.8627,0.4835,0.7209,0.9008,0.8497,0.7208,0.8056,0.4898,0.4728
0.8125,0.7645,0.8219,0.8923,0.4064,0.7004,4.0,0.7794,0.3956,12,0.6071,0.8537,0.8629,0.3938,0.656,0.8839,0.8367,0.6516,0.7566,0.4113,0.4141
0.7229,0.672,0.7467,0.8421,0.2834,0.5793,4.0,0.6719,0.2781,16,0.456,0.8057,0.8218,0.2788,0.5263,0.8381,0.7548,0.5434,0.6732,0.2732,0.2993
0.6167,0.5126,0.6565,0.7866,0.1411,0.4221,4.0,0.5201,0.128,20,0.2578,0.7361,0.7151,0.1374,0.3379,0.7779,0.6597,0.3277,0.508,0.131,0.1238
0.3985,0.3362,0.4658,0.6807,0.0493,0.213,4.0,0.3084,0.0391,24,0.108,0.5763,0.5753,0.0384,0.1633,0.6632,0.4773,0.1507,0.3283,0.0471,0.0372
0.2442,0.1431,0.2985,0.4967,0.0052,0.0787,4.0,0.1377,0.0093,28,0.0258,0.4038,0.4049,0.0085,0.0535,0.5245,0.291,0.0489,0.1472,0.0093,0.0071
0.835,0.8095,0.8702,0.9086,0.5015,0.7625,6.0,0.8214,0.4936,0,0.7098,0.8835,0.8892,0.5084,0.744,0.9075,0.8651,0.7405,0.7996,0.4955,0.4989
0.839,0.8131,0.8643,0.9037,0.4804,0.7729,6.0,0.8298,0.4947,4,0.6865,0.8881,0.8829,0.5062,0.7418,0.9094,0.8509,0.7443,0.8138,0.4875,0.4915
0.8274,0.8109,0.8518,0.8865,0.471,0.7511,6.0,0.8038,0.4802,8,0.6816,0.8801,0.8699,0.4693,0.7062,0.8958,0.8596,0.7309,0.8008,0.4693,0.4688
0.7972,0.7736,0.8255,0.8815,0.4169,0.697,6.0,0.7628,0.4137,12,0.6291,0.8525,0.8658,0.4265,0.6634,0.884,0.8125,0.6768,0.7477,0.4186,0.4328
0.7292,0.6695,0.7574,0.8339,0.3135,0.6213,6.0,0.6936,0.3177,16,0.4777,0.8201,0.8119,0.3111,0.5591,0.8589,0.7571,0.5623,0.6758,0.3093,0.3272
0.6121,0.5305,0.6542,0.7825,0.1826,0.4194,6.0,0.5041,0.1737,20,0.3201,0.7137,0.7149,0.1819,0.3561,0.7825,0.6482,0.3696,0.5321,0.1687,0.1938
0.4355,0.3434,0.4781,0.6766,0.0758,0.2353,6.0,0.3635,0.0735,24,0.146,0.5761,0.6075,0.0682,0.2033,0.6593,0.4849,0.1825,0.3394,0.0732,0.08
0.2575,0.1886,0.2874,0.5141,0.019,0.1025,6.0,0.1781,0.0192,28,0.0465,0.4353,0.4447,0.0144,0.0838,0.5263,0.3114,0.0653,0.1855,0.0144,0.0165
0.835,0.8164,0.8711,0.9101,0.5091,0.7592,8.0,0.8239,0.5045,0,0.6983,0.8883,0.8979,0.5052,0.7487,0.9049,0.8686,0.743,0.8146,0.4983,0.505
0.8464,0.8264,0.8505,0.9102,0.5048,0.761,8.0,0.8152,0.5027,4,0.6867,0.8828,0.8887,0.4928,0.7363,0.8984,0.858,0.7339,0.8088,0.5036,0.5007
