width,amplitude,best_wl,best_po,best_mean_p,best_power
2.0,0,3,4,0.4869494033720514,0.062
2.0,4,0,0,0.49555763304883466,0.062
2.0,8,3,3,0.3934849782173555,0.137
2.0,12,0,0,0.1764617156916444,0.511
2.0,16,3,4,0.01961906787080874,0.923
2.0,20,3,2,0.0002257682133927632,1.0
2.0,24,0,0,4.960044998342239e-7,1.0
2.0,28,3,2,5.1742174655977634e-11,1.0
4.0,0,3,2,0.49023122056903123,0.056
4.0,4,0,0,0.48264787900085127,0.058
4.0,8,0,0,0.4667884906729044,0.077
4.0,12,0,0,0.37549639987799605,0.189
4.0,16,3,2,0.19879312919604605,0.437
4.0,20,3,2,0.06348871092408345,0.776
4.0,24,3,4,0.00855923213128574,0.963
4.0,28,7,4,0.00027544896714929004,1.0
6.0,0,3,4,0.5014631904004111,0.058
6.0,4,5,4,0.4782527827463746,0.067
6.0,8,3,2,0.47111600709438867,0.065
6.0,12,3,4,0.4502257839247189,0.094
6.0,16,3,2,0.3370079175162791,0.224
6.0,20,3,4,0.2156305686798436,0.443
6.0,24,3,2,0.09852548977354467,0.701
6.0,28,11,4,0.023090578588212146,0.923
8.0,0,3,3,0.4890631391322965,0.055
8.0,4,5,4,0.49793000634257367,0.057
8.0,8,3,3,0.49753734905615443,0.06
8.0,12,0,0,0.4669141491807012,0.078
8.0,16,0,0,0.4237878301291158,0.116
8.0,20,3,2,0.3464811347150147,0.231
8.0,24,3,4,0.22757332221048177,0.422
8.0,28,7,3,0.10533770292539218,0.76
10.0,0,3,4,0.486083642156036,0.049
10.0,4,3,2,0.4866162720239189,0.053
10.0,8,3,3,0.48419084278721214,0.071
10.0,12,0,0,0.48604943842047715,0.07
10.0,16,3,2,0.45461052342959607,0.095
10.0,20,0,0,0.3929719997921683,0.17
10.0,24,3,3,0.32829556850837927,0.25
10.0,28,13,4,0.21515803862138325,0.548
12.0,0,3,2,0.481612256980574,0.057
12.0,4,5,4,0.48314467565739905,0.061
12.0,8,3,3,0.4851666308895481,0.073
12.0,12,0,0,0.4736584519215189,0.061
12.0,16,0,0,0.4695604617144739,0.075
12.0,20,0,0,0.43465101785452837,0.103
12.0,24,3,3,0.3696137281315966,0.169
12.0,28,5,4,0.3063060971601055,0.284
